,dummy_column,number
70000,1,70000
70001,1,70001
70002,1,70002
70003,1,70003
70004,1,70004
70005,1,70005
70006,1,70006
70007,1,70007
70008,1,70008
70009,1,70009
70010,1,70010
70011,1,70011
70012,1,70012
70013,1,70013
70014,1,70014
70015,1,70015
70016,1,70016
70017,1,70017
70018,1,70018
70019,1,70019
70020,1,70020
70021,1,70021
70022,1,70022
70023,1,70023
70024,1,70024
70025,1,70025
70026,1,70026
70027,1,70027
70028,1,70028
70029,1,70029
70030,1,70030
70031,1,70031
70032,1,70032
70033,1,70033
70034,1,70034
70035,1,70035
70036,1,70036
70037,1,70037
70038,1,70038
70039,1,70039
70040,1,70040
70041,1,70041
70042,1,70042
70043,1,70043
70044,1,70044
70045,1,70045
70046,1,70046
70047,1,70047
70048,1,70048
70049,1,70049
70050,1,70050
70051,1,70051
70052,1,70052
70053,1,70053
70054,1,70054
70055,1,70055
70056,1,70056
70057,1,70057
70058,1,70058
70059,1,70059
70060,1,70060
70061,1,70061
70062,1,70062
70063,1,70063
70064,1,70064
70065,1,70065
70066,1,70066
70067,1,70067
70068,1,70068
70069,1,70069
70070,1,70070
70071,1,70071
70072,1,70072
70073,1,70073
70074,1,70074
70075,1,70075
70076,1,70076
70077,1,70077
70078,1,70078
70079,1,70079
70080,1,70080
70081,1,70081
70082,1,70082
70083,1,70083
70084,1,70084
70085,1,70085
70086,1,70086
70087,1,70087
70088,1,70088
70089,1,70089
70090,1,70090
70091,1,70091
70092,1,70092
70093,1,70093
70094,1,70094
70095,1,70095
70096,1,70096
70097,1,70097
70098,1,70098
70099,1,70099
70100,1,70100
70101,1,70101
70102,1,70102
70103,1,70103
70104,1,70104
70105,1,70105
70106,1,70106
70107,1,70107
70108,1,70108
70109,1,70109
70110,1,70110
70111,1,70111
70112,1,70112
70113,1,70113
70114,1,70114
70115,1,70115
70116,1,70116
70117,1,70117
70118,1,70118
70119,1,70119
70120,1,70120
70121,1,70121
70122,1,70122
70123,1,70123
70124,1,70124
70125,1,70125
70126,1,70126
70127,1,70127
70128,1,70128
70129,1,70129
70130,1,70130
70131,1,70131
70132,1,70132
70133,1,70133
70134,1,70134
70135,1,70135
