index,is_even
70000,1
70001,0
70002,1
70003,0
70004,1
70005,0
70006,1
70007,0
70008,1
70009,0
70010,1
70011,0
70012,1
70013,0
70014,1
70015,0
70016,1
70017,0
70018,1
70019,0
70020,1
70021,0
70022,1
70023,0
70024,1
70025,0
70026,1
70027,0
70028,1
70029,0
70030,1
70031,0
70032,1
70033,0
70034,1
70035,0
70036,1
70037,0
70038,1
70039,0
70040,1
70041,0
70042,1
70043,0
70044,1
70045,0
70046,1
70047,0
70048,1
70049,0
70050,1
70051,0
70052,1
70053,0
70054,1
70055,0
70056,1
70057,0
70058,1
70059,0
70060,1
70061,0
70062,1
70063,0
70064,1
70065,0
70066,1
70067,0
70068,1
70069,0
70070,1
70071,0
70072,1
70073,0
70074,1
70075,0
70076,1
70077,0
70078,1
70079,0
70080,1
70081,0
70082,1
70083,0
70084,1
70085,0
70086,1
70087,0
70088,1
70089,0
70090,1
70091,0
70092,1
70093,0
70094,1
70095,0
70096,1
70097,0
70098,1
70099,0
70100,1
70101,0
70102,1
70103,0
70104,1
70105,0
70106,1
70107,0
70108,1
70109,0
70110,1
70111,0
70112,1
70113,0
70114,1
70115,0
70116,1
70117,0
70118,1
70119,0
70120,1
70121,0
70122,1
70123,0
70124,1
70125,0
70126,1
70127,0
70128,1
70129,0
70130,1
70131,0
70132,1
70133,0
70134,1
70135,0
70136,1
70137,0
70138,1
70139,0
70140,1
70141,0
70142,1
70143,0
70144,1
70145,0
70146,1
70147,0
70148,1
70149,0
70150,1
70151,0
70152,1
70153,0
70154,1
70155,0
70156,1
70157,0
70158,1
70159,0
70160,1
70161,0
70162,1
70163,0
70164,1
70165,0
70166,1
70167,0
70168,1
70169,0
70170,1
70171,0
70172,1
70173,0
70174,1
70175,0
70176,1
70177,0
70178,1
70179,0
70180,1
70181,0
70182,1
70183,0
70184,1
70185,0
70186,1
70187,0
70188,1
70189,0
70190,1
70191,0
70192,1
70193,0
70194,1
70195,0
70196,1
70197,0
70198,1
70199,0
70200,1
70201,0
70202,1
70203,0
70204,1
70205,0
70206,1
70207,0
70208,1
70209,0
70210,1
70211,0
70212,1
70213,0
70214,1
70215,0
70216,1
70217,0
70218,1
70219,0
70220,1
70221,0
70222,1
70223,0
70224,1
70225,0
70226,1
70227,0
70228,1
70229,0
70230,1
70231,0
70232,1
70233,0
70234,1
70235,0
70236,1
70237,0
70238,1
70239,0
70240,1
70241,0
70242,1
70243,0
70244,1
70245,0
70246,1
70247,0
70248,1
70249,0
70250,1
70251,0
70252,1
70253,0
70254,1
70255,0
70256,1
70257,0
70258,1
70259,0
70260,1
70261,0
70262,1
70263,0
70264,1
70265,0
70266,1
70267,0
70268,1
70269,0
70270,1
70271,0
70272,1
70273,0
70274,1
70275,0
70276,1
70277,0
70278,1
70279,0
70280,1
70281,0
70282,1
70283,0
70284,1
70285,0
70286,1
70287,0
70288,1
70289,0
70290,1
70291,0
70292,1
70293,0
70294,1
70295,0
70296,1
70297,0
70298,1
70299,0
70300,1
70301,0
70302,1
70303,0
70304,1
70305,0
70306,1
70307,0
70308,1
70309,0
70310,1
70311,0
70312,1
70313,0
70314,1
70315,0
70316,1
70317,0
70318,1
70319,0
70320,1
70321,0
70322,1
70323,0
70324,1
70325,0
70326,1
70327,0
70328,1
70329,0
70330,1
70331,0
70332,1
70333,0
70334,1
70335,0
70336,1
70337,0
70338,1
70339,0
70340,1
70341,0
70342,1
70343,0
70344,1
70345,0
70346,1
70347,0
70348,1
70349,0
70350,1
70351,0
70352,1
70353,0
70354,1
70355,0
70356,1
70357,0
70358,1
70359,0
70360,1
70361,0
70362,1
70363,0
70364,1
70365,0
70366,1
70367,0
70368,1
70369,0
70370,1
70371,0
70372,1
70373,0
70374,1
70375,0
70376,1
70377,0
70378,1
70379,0
70380,1
70381,0
70382,1
70383,0
70384,1
70385,0
70386,1
70387,0
70388,1
70389,0
70390,1
70391,0
70392,1
70393,0
70394,1
70395,0
70396,1
70397,0
70398,1
70399,0
70400,1
70401,0
70402,1
70403,0
70404,1
70405,0
70406,1
70407,0
70408,1
70409,0
