index,is_even
60000,1
60001,0
60002,1
60003,0
60004,1
60005,0
60006,1
60007,0
60008,1
60009,0
60010,1
60011,0
60012,1
60013,0
60014,1
60015,0
60016,1
60017,0
60018,1
60019,0
60020,1
60021,0
60022,1
60023,0
60024,1
60025,0
60026,1
60027,0
60028,1
60029,0
60030,1
60031,0
60032,1
60033,0
60034,1
60035,0
60036,1
60037,0
60038,1
60039,0
60040,1
60041,0
60042,1
60043,0
60044,1
60045,0
60046,1
60047,0
60048,1
60049,0
60050,1
60051,0
60052,1
60053,0
60054,1
60055,0
60056,1
60057,0
60058,1
60059,0
60060,1
60061,0
60062,1
60063,0
60064,1
60065,0
60066,1
60067,0
60068,1
60069,0
60070,1
60071,0
60072,1
60073,0
60074,1
60075,0
60076,1
60077,0
60078,1
60079,0
60080,1
60081,0
60082,1
60083,0
60084,1
60085,0
60086,1
60087,0
60088,1
60089,0
60090,1
60091,0
60092,1
60093,0
60094,1
60095,0
60096,1
60097,0
60098,1
60099,0
60100,1
60101,0
60102,1
60103,0
60104,1
60105,0
60106,1
60107,0
60108,1
60109,0
60110,1
60111,0
60112,1
60113,0
60114,1
60115,0
60116,1
60117,0
60118,1
60119,0
60120,1
60121,0
60122,1
60123,0
60124,1
60125,0
60126,1
60127,0
60128,1
60129,0
60130,1
60131,0
60132,1
60133,0
60134,1
60135,0
60136,1
60137,0
60138,1
60139,0
60140,1
60141,0
60142,1
60143,0
60144,1
60145,0
60146,1
60147,0
60148,1
60149,0
60150,1
60151,0
60152,1
60153,0
60154,1
60155,0
60156,1
60157,0
60158,1
60159,0
60160,1
60161,0
60162,1
60163,0
60164,1
60165,0
60166,1
60167,0
60168,1
60169,0
60170,1
60171,0
60172,1
60173,0
60174,1
60175,0
60176,1
60177,0
60178,1
60179,0
60180,1
60181,0
60182,1
60183,0
60184,1
60185,0
60186,1
60187,0
60188,1
60189,0
60190,1
60191,0
60192,1
60193,0
60194,1
60195,0
60196,1
60197,0
60198,1
60199,0
60200,1
60201,0
60202,1
60203,0
60204,1
60205,0
60206,1
60207,0
60208,1
60209,0
60210,1
60211,0
60212,1
60213,0
60214,1
60215,0
60216,1
60217,0
60218,1
60219,0
60220,1
60221,0
60222,1
60223,0
60224,1
60225,0
60226,1
60227,0
60228,1
60229,0
60230,1
60231,0
60232,1
60233,0
60234,1
60235,0
60236,1
60237,0
60238,1
60239,0
60240,1
60241,0
60242,1
60243,0
60244,1
60245,0
60246,1
60247,0
60248,1
60249,0
60250,1
60251,0
60252,1
60253,0
60254,1
60255,0
60256,1
60257,0
60258,1
60259,0
60260,1
60261,0
60262,1
60263,0
60264,1
60265,0
60266,1
60267,0
60268,1
60269,0
60270,1
60271,0
60272,1
60273,0
60274,1
60275,0
60276,1
60277,0
60278,1
60279,0
60280,1
60281,0
60282,1
60283,0
60284,1
60285,0
60286,1
60287,0
60288,1
60289,0
60290,1
60291,0
60292,1
60293,0
60294,1
60295,0
60296,1
60297,0
60298,1
60299,0
60300,1
60301,0
60302,1
60303,0
60304,1
60305,0
60306,1
60307,0
60308,1
60309,0
60310,1
60311,0
60312,1
60313,0
60314,1
60315,0
60316,1
60317,0
60318,1
60319,0
60320,1
60321,0
60322,1
60323,0
60324,1
60325,0
60326,1
60327,0
60328,1
60329,0
60330,1
60331,0
60332,1
60333,0
60334,1
60335,0
60336,1
60337,0
60338,1
60339,0
60340,1
60341,0
60342,1
60343,0
60344,1
60345,0
60346,1
60347,0
60348,1
60349,0
60350,1
60351,0
60352,1
60353,0
60354,1
60355,0
60356,1
60357,0
60358,1
60359,0
60360,1
60361,0
60362,1
60363,0
60364,1
60365,0
60366,1
60367,0
60368,1
60369,0
60370,1
60371,0
60372,1
60373,0
60374,1
60375,0
60376,1
60377,0
60378,1
60379,0
60380,1
60381,0
60382,1
60383,0
60384,1
60385,0
60386,1
60387,0
60388,1
60389,0
60390,1
60391,0
60392,1
60393,0
60394,1
60395,0
60396,1
60397,0
60398,1
60399,0
60400,1
60401,0
60402,1
60403,0
60404,1
60405,0
60406,1
60407,0
60408,1
60409,0
60410,1
60411,0
60412,1
60413,0
60414,1
60415,0
60416,1
60417,0
60418,1
60419,0
60420,1
60421,0
60422,1
60423,0
60424,1
60425,0
60426,1
60427,0
60428,1
60429,0
60430,1
60431,0
60432,1
60433,0
60434,1
60435,0
60436,1
60437,0
60438,1
60439,0
60440,1
60441,0
60442,1
60443,0
60444,1
60445,0
60446,1
60447,0
60448,1
60449,0
60450,1
60451,0
60452,1
60453,0
60454,1
60455,0
60456,1
60457,0
60458,1
60459,0
60460,1
60461,0
60462,1
60463,0
60464,1
